SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
quest_kace_agent__formerly_dell_kace_,Quest KACE Agent (formerly Dell KACE),Generated,DR-MFT-RMM-136,1,^konea\.exe$,,,1
radmin,RAdmin,Generated,DR-MFT-RMM-137,2,^Radmin\.exe$|^rserver3\.exe$,,,1
rapid7,Rapid7,Generated,DR-MFT-RMM-312,3,^ir_agent\.exe$|^rapid7_agent_core\.exe$|^rapid7_endpoint_broker\.exe$,,,1
rdclient,RdClient,Generated,DR-MFT-RMM-313,3,^RdClientInstaller\.exe$|^SupportTool\.exe$|^rdclient\.exe$,,,1
rdcman,RDCMan,Generated,DR-MFT-RMM-314,2,^RDCMan-x86\.exe$|^RDCMan\.exe$,,,1
rdp2tcp,rdp2tcp,Generated,DR-MFT-RMM-138,1,^tdp2tcp\.exe$,,,1
rdpview,RDPView,Excluded,DR-MFT-RMM-139,0,,,Duplicate and misattributed dwrcs.exe indicator; the binary is a SolarWinds Dameware component already covered by the canonical Dameware rule,1
rdpwrap,rdpwrap,Generated,DR-MFT-RMM-140,3,^RDPCheck\.exe$|^RDPConf\.exe$|^RDPWInst\.exe$,,,1
realvnc,RealVNC,Excluded,DR-MFT-RMM-315,0,,,No safe Windows filename indicator,1
remcos,Remcos,Generated,DR-MFT-RMM-144,1,^remcos.*\.exe$,,,1
remmina,Remmina,Excluded,DR-MFT-RMM-316,0,,,No safe Windows filename indicator,1
remmon,Remmon,Generated,DR-MFT-RMM-317,1,^remmon\.exe$,,,1
remobo,Remobo,Generated,DR-MFT-RMM-145,3,^remobo\.exe$|^remobo_client\.exe$|^remobo_tracker\.exe$,,,1
remote_desktop_manager__devolutions_,Remote Desktop Manager (Devolutions),Excluded,DR-MFT-RMM-319,0,,,No safe Windows filename indicator,1
remote_desktop_plus,Remote Desktop Plus,Generated,DR-MFT-RMM-146,1,^rdp\.exe$,,,1
remote_manipulator_system,Remote Manipulator System,Generated,DR-MFT-RMM-148,2,^rfusclient\.exe$|^rutserv\.exe$,,,1
remote_ripple,Remote Ripple,Generated,DR-MFT-RMM-320,1,^RemoteRipple\.exe$,,,1
remote_utilities,Remote Utilities,Generated,DR-MFT-RMM-149,2,^rutserv\.exe$|^rutview\.exe$,,,2
remote.it,Remote.it,Generated,DR-MFT-RMM-318,3,^remote-it-installer\.exe$|^remote\.it\.exe$|^remoteit\.exe$,,,1
remotecall,RemoteCall,Generated,DR-MFT-RMM-150,7,^agentu\.exe$|^raautoup\.exe$|^rcengmgru\.exe$|^rcmgrsvc\.exe$|^rcstartsupport\.exe$|^remotesupportplayeru\.exe$|^rxstartsupport\.exe$,,,1
remotely,Remotely,Generated,DR-MFT-RMM-321,2,^Remotely_Desktop\.exe$|^Remotely_Agent\.exe$,,,1
remotepass,RemotePass,Generated,DR-MFT-RMM-151,3,^remotepass-access\.exe$|^rpaccess\.exe$|^rpwhostscr\.exe$,,,1
remotepc,RemotePC,Generated,DR-MFT-RMM-152,4,^RemotePCService\.exe$|^RemotePC\.exe$|^remotepchost\.exe$|^rpcsuite\.exe$,,,1
remotepulse,RemotePulse,Generated,DR-MFT-RMM-322,5,^InstallCore\.exe$|^agent\.ps1$|^defender-exclude\.ps1$|^install\.cmd$|^install\.ps1$,,,1
remoteview,RemoteView,Generated,DR-MFT-RMM-153,3,^remoteview\.exe$|^rvagent\.exe$|^rvagtray\.exe$,,,1
res_automation_manager,RES Automation Manager,Generated,DR-MFT-RMM-154,4,^wisshell.*\.exe$|^wmc\.exe$|^wmc_deployer\.exe$|^wmcsvc\.exe$,,,1
rocket_remote_desktop,Rocket Remote Desktop,Generated,DR-MFT-RMM-155,2,^RDConsole\.exe$|^RocketRemoteDesktop_Setup\.exe$,,,1
rodex_rmm,Rodex RMM,Generated,DR-MFT-RMM-325,2,^RodexAgent\.exe$|^<random>\.exe$,,,1
royal_apps,Royal Apps,Generated,DR-MFT-RMM-156,2,^royalserver\.exe$|^royalts\.exe$,,,1
royal_ts,Royal TS,Generated,DR-MFT-RMM-158,1,^royalts\.exe$,,,1
rport,RPort,Generated,DR-MFT-RMM-159,1,^rport\.exe$,,,1
rudesktop,RuDesktop,Generated,DR-MFT-RMM-161,1,^rudesktop.*\.exe$,,,1
runsmart,RunSmart,Excluded,DR-MFT-RMM-326,0,,,No safe Windows filename indicator,1
